,Open,High,Low,Close,Adj Close,Volume,Return,20D_MA,50D_MA,200D_MA,Momentum,Volatility,RSI,GDP,Interest Rate,PCE,UNRATE,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,ADS_Lag1,ADS_Rolling
2021-11-01,639.2204735165551,648.8290434337798,632.4300013950893,642.2028488885788,642.2028488885788,4694109.523809524,0.006038782737888038,613.4649007161458,580.031987915039,536.4621061633882,33.43291280110678,0.016722031232229068,0.01803491208859798,24777.038,0.07,16694.0,4.5,-1.55,-1.77,-0.41,7.27,1.74,0.0,1.0337856129032257,-0.23379795333333334,0.212272301469534
2021-11-30,671.3633335658482,677.7261875697544,660.9476173037574,667.5242861793155,667.5242861793155,3072866.6666666665,-0.0032933012910182306,662.5798992338634,628.7171100725446,550.3270912461054,33.86278916131884,0.01849187385591005,0.019178034496932773,24777.038,0.07,16849.0,4.1,-1.55,-1.77,-0.41,7.27,1.74,0.0,0.887613,1.0337856129032257,0.5625335531899641
2021-12-01,671.3633335658482,677.7261875697544,660.9476173037574,667.5242861793155,667.5242861793155,3072866.6666666665,-0.0032933012910182306,662.5798992338634,628.7171100725446,550.3270912461054,33.86278916131884,0.01849187385591005,0.019178034496932773,24777.038,0.07,16849.0,4.1,3.1,-0.79,3.22,4.83,4.32,0.01,0.887613,1.0337856129032257,0.5625335531899641
2021-12-31,611.5686395818537,616.9627269398082,601.9545482288707,608.4840892444957,608.4840892444957,2726150.0,-0.002758708093772029,633.8416379061612,645.78048828125,560.2946322770553,-11.938850375088784,0.01825703743150351,0.017131328234253448,24777.038,0.07,16905.5,3.9,3.1,-0.79,3.22,4.83,4.32,0.01,0.11199590009032258,0.887613,0.6777981709978494
2022-01-01,611.5686395818537,616.9627269398082,601.9545482288707,608.4840892444957,608.4840892444957,2726150.0,-0.002758708093772029,633.8416379061612,645.78048828125,560.2946322770553,-11.938850375088784,0.01825703743150351,0.017131328234253448,24777.038,0.07,16905.5,3.9,-6.25,-4.09,12.8,0.84,7.74,0.0,0.11199590009032258,0.887613,0.6777981709978494
2022-01-31,492.0550003051758,498.9469985961914,478.27599945068357,487.85350036621094,487.85350036621094,12083100.0,-0.015140125022562994,564.868949508667,612.0811801452637,564.860345375061,-47.21223063659668,0.02582763815314566,0.030835120185527004,25215.491,0.08,17017.8,4.0,-6.25,-4.09,12.8,0.84,7.74,0.0,-0.11294939612903226,0.11199590009032258,0.2955531679870968
2022-02-01,492.0550003051758,498.9469985961914,478.27599945068357,487.85350036621094,487.85350036621094,12083100.0,-0.015140125022562994,564.868949508667,612.0811801452637,564.860345375061,-47.21223063659668,0.02582763815314566,0.030835120185527004,25215.491,0.08,17017.8,4.0,-2.29,2.92,3.1,-2.1,3.16,0.0,-0.11294939612903226,0.11199590009032258,0.2955531679870968
2022-02-28,400.7773662366365,409.6994741339433,391.06631630345396,400.9863168816817,400.9863168816817,7947931.578947368,-0.0035864451716474764,426.69887076929996,521.3263688579358,554.938219628585,-94.62749808863589,0.05423984387945193,0.05353732488743299,25215.491,0.08,17136.1,3.8,-2.29,2.92,3.1,-2.1,3.16,0.0,0.24272074999999999,-0.11294939612903226,0.08058908465376342
2022-03-01,400.7773662366365,409.6994741339433,391.06631630345396,400.9863168816817,400.9863168816817,7947931.578947368,-0.0035864451716474764,426.69887076929996,521.3263688579358,554.938219628585,-94.62749808863589,0.05423984387945193,0.05353732488743299,25215.491,0.08,17136.1,3.8,3.06,-2.2,-1.76,-1.5,3.18,0.01,0.24272074999999999,-0.11294939612903226,0.08058908465376342
2022-03-31,369.2200025475544,374.96260800568956,360.38391245966375,366.7917414126189,366.7917414126189,5195300.0,-0.001867164400384847,375.28180535357933,425.907949165676,542.1982881297236,-50.626143812096636,0.036965056007493884,0.0300394708462148,25215.491,0.33,17371.4,3.6,3.06,-2.2,-1.76,-1.5,3.18,0.01,0.014394405161290322,0.24272074999999999,0.048055253010752676
